1,175,341,favpng_dog-puppy-snapchat-clip-art.png,595,595
2,187,279,favpng_dog-puppy-snapchat-clip-art.png,595,595
3,219,243,favpng_dog-puppy-snapchat-clip-art.png,595,595
4,251,230,favpng_dog-puppy-snapchat-clip-art.png,595,595
5,303,225,favpng_dog-puppy-snapchat-clip-art.png,595,595
6,345,230,favpng_dog-puppy-snapchat-clip-art.png,595,595
7,366,246,favpng_dog-puppy-snapchat-clip-art.png,595,595
8,414,296,favpng_dog-puppy-snapchat-clip-art.png,595,595
9,414,338,favpng_dog-puppy-snapchat-clip-art.png,595,595
10,371,361,favpng_dog-puppy-snapchat-clip-art.png,595,595
11,307,349,favpng_dog-puppy-snapchat-clip-art.png,595,595
12,286,344,favpng_dog-puppy-snapchat-clip-art.png,595,595
13,238,364,favpng_dog-puppy-snapchat-clip-art.png,595,595
14,198,359,favpng_dog-puppy-snapchat-clip-art.png,595,595
15,397,264,favpng_dog-puppy-snapchat-clip-art.png,595,595
